2022.03.14 10:29:37 INFO  es[][o.e.n.Node] initializing ...
2022.03.14 10:29:38 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/ (/dev/xvda1)]], net usable_space [19.3gb], net total_space [24.1gb], spins? [no], types [ext4]
2022.03.14 10:29:38 INFO  es[][o.e.e.NodeEnvironment] heap size [495.3mb], compressed ordinary object pointers [true]
2022.03.14 10:29:38 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [Dq-ZV16WSW2GtG3JfOS-sQ]
2022.03.14 10:29:38 INFO  es[][o.e.n.Node] version[5.6.3], pid[17470], build[1a2f265/2017-10-06T20:33:39.012Z], OS[Linux/5.4.0-1068-aws/amd64], JVM[Ubuntu/OpenJDK 64-Bit Server VM/11.0.14/11.0.14+9-Ubuntu-0ubuntu2.18.04]
2022.03.14 10:29:38 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djdk.io.permissionsUseCanonicalPath=true, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j.skipJansi=true, -Xms512m, -Xmx512m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/home/ubuntu/sonarqube-7.3/elasticsearch]
2022.03.14 10:29:39 INFO  es[][o.e.p.PluginsService] loaded module [aggs-matrix-stats]
2022.03.14 10:29:39 INFO  es[][o.e.p.PluginsService] loaded module [ingest-common]
2022.03.14 10:29:39 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2022.03.14 10:29:39 INFO  es[][o.e.p.PluginsService] loaded module [percolator]
2022.03.14 10:29:39 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2022.03.14 10:29:39 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2022.03.14 10:29:39 INFO  es[][o.e.p.PluginsService] no plugins loaded
2022.03.14 10:29:41 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen]
2022.03.14 10:29:41 INFO  es[][o.e.n.Node] initialized
2022.03.14 10:29:41 INFO  es[][o.e.n.Node] starting ...
2022.03.14 10:29:41 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2022.03.14 10:29:41 WARN  es[][o.e.b.BootstrapChecks] max virtual memory areas vm.max_map_count [65530] is too low, increase to at least [262144]
2022.03.14 10:29:44 INFO  es[][o.e.c.s.ClusterService] new_master {sonarqube}{Dq-ZV16WSW2GtG3JfOS-sQ}{HbjMhShsR4iAglI11QmvyQ}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}, reason: zen-disco-elected-as-master ([0] nodes joined)
2022.03.14 10:29:44 INFO  es[][o.e.n.Node] started
2022.03.14 10:29:45 INFO  es[][o.e.g.GatewayService] recovered [8] indices into cluster_state
2022.03.14 10:29:46 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[metadatas][0]] ...]).
